iter	Logloss
0	0.6926436478
1	0.6920932718
2	0.6914555154
3	0.6908223642
4	0.6901152082
5	0.6896461689
6	0.6892743593
7	0.6888590284
8	0.688499662
9	0.6880757645
10	0.6874421502
11	0.6869761762
12	0.6864219684
13	0.6859892735
14	0.6852495747
15	0.684653303
16	0.684006298
17	0.6836400863
18	0.6831965728
19	0.6826847414
20	0.6822776891
21	0.6817924957
22	0.681375148
23	0.6809491989
24	0.6804982595
25	0.6801040556
26	0.6796766797
27	0.6791262124
28	0.6787531263
29	0.6783114121
30	0.6778403433
31	0.6772328526
32	0.6766954429
33	0.6763340705
34	0.6760614271
35	0.6755727735
36	0.6750723077
37	0.674579109
38	0.6740763054
39	0.6736308417
40	0.6732619045
41	0.6727662213
42	0.6722707111
43	0.67177197
44	0.6712659548
45	0.6707637918
46	0.6701966737
47	0.6697975147
48	0.6693596616
49	0.6687334799
50	0.668406036
51	0.667754324
52	0.6672522098
53	0.666936656
54	0.6664211637
55	0.6659362581
56	0.6655948449
57	0.665034264
58	0.6645310823
59	0.6640958298
60	0.6636766765
61	0.6634200959
62	0.6628868666
63	0.6623595036
64	0.6618703715
65	0.661281225
66	0.6607869101
67	0.6603014086
68	0.6598957969
69	0.6595154306
70	0.6592110635
71	0.6587258752
72	0.6584065068
73	0.6579138563
74	0.6574628053
75	0.6570589835
76	0.656638243
77	0.6561248015
78	0.6558038505
79	0.6553711604
80	0.6550464846
81	0.6544233386
82	0.6539701566
83	0.653534543
84	0.6530205139
85	0.6526526244
86	0.6522654619
87	0.6517820781
88	0.6512363776
89	0.650967044
90	0.6504612916
91	0.6499628269
92	0.6495930066
93	0.6492597652
94	0.6488892212
95	0.6485494062
96	0.6480878483
97	0.6480594767
98	0.6475406923
99	0.6469484641
100	0.6465856471
101	0.6462236078
102	0.6458867598
103	0.6455497551
104	0.6450416776
105	0.6445834554
106	0.6440958991
107	0.6436730976
108	0.6433497485
109	0.6429192233
110	0.6423958952
111	0.6419186493
112	0.6414517739
113	0.6412688043
114	0.6407068997
115	0.6402857206
116	0.6398851243
117	0.6395276914
118	0.6391743205
119	0.6387634253
120	0.6382646479
121	0.6377961623
122	0.637346342
123	0.6368220724
124	0.6364889796
125	0.6359252225
126	0.6354375209
127	0.6350645556
128	0.6346738453
129	0.6342407467
130	0.6337499907
131	0.6332975083
132	0.6328530602
133	0.6325047775
134	0.6320065997
135	0.6315121276
136	0.6310878169
137	0.6304871923
138	0.6301854045
139	0.62986266
140	0.6294646916
141	0.6288854191
142	0.6284768132
143	0.6280371348
144	0.6277115658
145	0.6273646124
146	0.6270306781
147	0.626713857
148	0.6262290778
149	0.625860456
150	0.625425907
151	0.6250438339
152	0.6246089238
153	0.6243810746
154	0.6239271084
155	0.6235306624
156	0.623062633
157	0.6225497913
158	0.6220776202
159	0.6215581964
160	0.621126964
161	0.6206899439
162	0.6201783182
163	0.619725232
164	0.6192877303
165	0.6189184392
166	0.6187140508
167	0.6181816433
168	0.6178004885
169	0.6172867034
170	0.6168118611
171	0.6163283249
172	0.6158436119
173	0.615563623
174	0.6153349057
175	0.6149405146
176	0.6146480439
177	0.6143331192
178	0.6138430906
179	0.6135042703
180	0.6131153476
181	0.6126717633
182	0.6123196365
183	0.6118032356
184	0.6113328537
185	0.6108882481
186	0.6106848376
187	0.6104978637
188	0.6101404021
189	0.6099288275
190	0.6094836394
191	0.6089952338
192	0.6084265021
193	0.6079493718
194	0.6074955864
195	0.6072295544
196	0.6069307172
197	0.6064078487
198	0.6060488835
199	0.6057176109
200	0.6054190078
201	0.6050786719
202	0.6047004322
203	0.6042455989
204	0.6037418501
205	0.603275305
206	0.6028379541
207	0.6023957392
208	0.6020267392
209	0.6016867944
210	0.6014129895
