iter	Passed	Remaining
0	16	16806
1	31	15832
2	45	14970
3	65	16200
4	80	16112
5	96	15945
6	114	16237
7	131	16288
8	146	16139
9	163	16201
10	178	16056
11	191	15743
12	202	15391
13	214	15121
14	227	14938
15	240	14770
16	252	14611
17	268	14622
18	285	14747
19	304	14896
20	320	14934
21	335	14925
22	351	14925
23	365	14876
24	380	14830
25	396	14844
26	413	14908
27	449	15616
28	476	15940
29	504	16296
30	564	17650
31	602	18224
32	621	18207
33	683	19416
34	718	19797
35	745	19962
36	764	19896
37	792	20061
38	822	20264
39	848	20368
40	877	20524
41	900	20546
42	918	20446
43	943	20505
44	968	20556
45	995	20643
46	1024	20782
47	1052	20877
48	1078	20929
49	1105	21000
50	1131	21048
51	1156	21086
52	1182	21122
53	1206	21141
54	1232	21176
55	1260	21243
56	1285	21264
57	1312	21323
58	1328	21187
59	1353	21203
60	1371	21109
61	1390	21039
62	1416	21069
63	1440	21073
64	1466	21088
65	1491	21112
66	1517	21132
67	1543	21148
68	1569	21177
69	1594	21186
70	1619	21196
71	1673	21571
72	1705	21653
73	1731	21661
74	1756	21658
75	1783	21685
76	1811	21718
77	1836	21712
78	1861	21697
79	1888	21712
80	1913	21705
81	1938	21699
82	1963	21695
83	1988	21681
84	2015	21695
85	2040	21682
86	2063	21652
87	2087	21637
88	2113	21635
89	2138	21622
90	2163	21611
91	2188	21595
92	2216	21616
93	2246	21655
94	2272	21650
95	2296	21629
96	2323	21627
97	2351	21641
98	2376	21631
99	2401	21614
100	2426	21594
101	2451	21584
102	2480	21604
103	2505	21584
104	2529	21564
105	2554	21545
106	2578	21521
107	2606	21525
108	2631	21512
109	2657	21500
110	2720	21792
111	2748	21792
112	2774	21779
113	2798	21753
114	2824	21736
115	2848	21705
116	2875	21703
117	2904	21712
118	2930	21694
119	2957	21687
120	2984	21683
121	3011	21671
122	3034	21639
123	3060	21622
124	3085	21595
125	3111	21585
126	3141	21595
127	3164	21560
128	3174	21435
129	3201	21427
130	3227	21410
131	3254	21402
132	3279	21377
133	3304	21354
134	3330	21338
135	3362	21362
136	3388	21347
137	3413	21320
138	3438	21296
139	3463	21272
140	3490	21264
141	3514	21238
142	3539	21211
143	3569	21217
144	3594	21195
145	3622	21191
146	3646	21162
147	3674	21150
148	3698	21123
149	3726	21115
150	3756	21119
151	3784	21112
152	3810	21096
153	3836	21074
154	3862	21056
155	3888	21038
156	3915	21022
157	3941	21004
158	3966	20982
159	3993	20966
160	4025	20978
161	4050	20955
162	4076	20933
163	4101	20905
164	4129	20897
165	4153	20869
166	4178	20840
167	4202	20813
168	4233	20818
169	4262	20808
170	4286	20782
171	4312	20760
172	4339	20742
173	4364	20716
174	4390	20695
175	4415	20674
176	4444	20665
177	4469	20641
178	4495	20618
179	4524	20611
180	4550	20590
181	4575	20564
182	4601	20541
183	4625	20512
184	4636	20425
185	4667	20426
186	4694	20408
187	4719	20383
188	4749	20378
189	4779	20375
190	4805	20353
191	4830	20328
192	4856	20307
193	4884	20295
194	4914	20287
195	4939	20262
196	4965	20241
197	4990	20215
198	5014	20185
199	5041	20167
200	5067	20142
201	5091	20115
202	5120	20102
203	5145	20077
204	5172	20059
205	5197	20033
206	5223	20010
207	5249	19988
208	5276	19969
209	5302	19946
210	5365	20062
211	5393	20048
212	5421	20032
213	5447	20007
214	5472	19979
215	5497	19955
216	5522	19927
217	5554	19923
218	5581	19903
219	5608	19884
220	5632	19854
221	5662	19844
222	5688	19820
223	5713	19793
224	5741	19775
225	5774	19777
226	5803	19762
227	5828	19736
228	5854	19711
229	5879	19683
230	5907	19664
231	5935	19648
232	5961	19623
233	5991	19613
234	6018	19591
235	6046	19573
236	6071	19546
237	6099	19528
238	6125	19504
239	6150	19476
240	6179	19461
241	6207	19444
242	6234	19421
243	6260	19397
244	6288	19379
245	6314	19353
246	6339	19326
247	6365	19303
248	6392	19279
249	6424	19274
250	6451	19250
251	6482	19242
252	6506	19211
253	6534	19190
254	6560	19166
255	6601	19187
256	6626	19158
257	6653	19134
258	6680	19113
259	6702	19077
260	6728	19051
261	6755	19029
262	6782	19005
263	6810	18986
264	6838	18968
265	6864	18941
266	6892	18922
267	6920	18901
268	6949	18884
269	6975	18858
270	7000	18831
271	7025	18804
272	7048	18770
273	7077	18751
274	7107	18737
275	7134	18714
276	7160	18689
277	7187	18665
278	7215	18646
279	7240	18617
280	7267	18594
281	7292	18567
282	7323	18554
283	7350	18531
284	7375	18502
285	7401	18476
286	7426	18450
287	7454	18428
288	7481	18406
289	7509	18384
290	7534	18358
291	7566	18346
292	7596	18330
293	7621	18302
294	7648	18278
295	7674	18253
296	7703	18234
297	7732	18215
298	7758	18188
299	7791	18180
300	7819	18159
301	7846	18134
302	7873	18111
303	7899	18085
304	7926	18062
305	7956	18044
306	7989	18034
307	8017	18014
308	8043	17988
309	8071	17966
310	8100	17946
311	8128	17923
312	8154	17897
313	8179	17870
314	8212	17858
315	8240	17837
316	8268	17814
317	8300	17801
318	8329	17782
319	8358	17761
320	8384	17735
321	8410	17709
322	8441	17693
323	8469	17670
324	8496	17647
325	8523	17622
326	8549	17595
327	8575	17568
328	8606	17553
329	8635	17531
330	8665	17514
331	8691	17487
332	8718	17463
333	8753	17454
334	8789	17448
335	8803	17397
336	8816	17344
337	8828	17290
338	8841	17238
339	8855	17189
340	8868	17139
341	8881	17087
342	8896	17041
343	8912	16995
344	8929	16953
345	8949	16915
346	8962	16865
347	8980	16826
348	8993	16775
349	9005	16724
350	9019	16677
351	9031	16626
352	9044	16577
353	9057	16527
354	9070	16479
355	9084	16433
356	9097	16385
357	9109	16336
358	9121	16286
359	9134	16238
360	9146	16189
361	9157	16140
362	9169	16091
363	9181	16041
364	9192	15993
365	9204	15944
366	9218	15899
367	9230	15852
368	9242	15805
369	9254	15758
370	9267	15712
371	9279	15665
372	9291	15618
373	9303	15572
374	9316	15527
375	9329	15482
376	9342	15437
377	9355	15393
378	9367	15348
379	9379	15303
380	9391	15258
381	9404	15214
382	9417	15170
383	9431	15130
384	9445	15088
385	9461	15050
386	9477	15011
387	9491	14970
388	9503	14926
389	9519	14889
390	9531	14846
391	9544	14803
392	9556	14760
393	9568	14717
394	9580	14673
395	9593	14632
396	9605	14589
397	9618	14548
398	9630	14505
399	9642	14463
400	9655	14423
401	9668	14382
402	9680	14341
403	9693	14299
404	9705	14259
405	9718	14218
406	9730	14177
407	9743	14137
408	9756	14098
409	9768	14057
410	9781	14017
411	9794	13978
412	9806	13937
413	9818	13897
414	9830	13856
415	9842	13817
416	9854	13777
417	9866	13737
418	9879	13698
419	9890	13658
420	9903	13620
421	9916	13582
422	9929	13544
423	9943	13508
424	9958	13473
425	9972	13437
426	9984	13399
427	9997	13361
428	10009	13322
429	10022	13285
430	10034	13247
431	10046	13208
432	10058	13170
433	10071	13134
434	10083	13097
435	10095	13059
436	10107	13022
437	10119	12984
438	10131	12947
439	10143	12910
440	10155	12873
441	10168	12837
442	10181	12801
443	10193	12765
444	10206	12729
445	10218	12692
446	10230	12657
447	10242	12620
448	10255	12585
449	10268	12550
450	10279	12513
451	10291	12477
452	10304	12442
453	10316	12407
454	10328	12371
455	10340	12336
456	10353	12301
457	10365	12266
458	10376	12230
459	10388	12195
460	10402	12162
461	10414	12127
462	10427	12093
463	10440	12060
464	10452	12025
465	10464	11991
466	10476	11956
467	10489	11923
468	10501	11889
469	10513	11855
470	10525	11821
471	10538	11788
472	10550	11755
473	10562	11720
474	10574	11687
475	10586	11653
476	10599	11621
477	10612	11589
478	10624	11556
479	10637	11523
480	10649	11490
481	10661	11458
482	10673	11424
483	10685	11391
484	10697	11359
485	10709	11326
486	10722	11294
487	10735	11263
488	10747	11231
489	10760	11199
490	10772	11167
491	10786	11137
492	10798	11105
493	10810	11073
494	10823	11041
495	10835	11010
496	10848	10979
497	10861	10948
498	10873	10916
499	10885	10885
500	10899	10855
501	10911	10824
502	10924	10794
503	10938	10765
504	10951	10734
505	10962	10702
506	10977	10673
507	10990	10644
508	11004	10615
509	11016	10584
510	11028	10553
511	11042	10524
512	11054	10494
513	11067	10464
514	11079	10433
515	11091	10403
516	11103	10373
517	11115	10342
518	11128	10313
519	11141	10284
520	11154	10255
521	11166	10225
522	11178	10195
523	11190	10165
524	11202	10135
525	11214	10105
526	11226	10075
527	11238	10046
528	11252	10018
529	11264	9989
530	11276	9960
531	11288	9930
532	11300	9901
533	11313	9872
534	11326	9844
535	11338	9815
536	11350	9786
537	11362	9756
538	11374	9728
539	11386	9699
540	11398	9670
541	11410	9641
542	11423	9613
543	11435	9585
544	11447	9556
545	11458	9528
546	11471	9500
547	11483	9472
548	11496	9444
549	11508	9415
550	11520	9387
551	11533	9360
552	11547	9333
553	11559	9306
554	11571	9277
555	11583	9249
556	11595	9221
557	11607	9194
558	11620	9167
559	11633	9140
560	11645	9113
561	11657	9085
562	11670	9058
563	11683	9032
564	11696	9004
565	11708	8977
566	11719	8950
567	11733	8923
568	11746	8897
569	11758	8870
570	11770	8843
571	11782	8816
572	11795	8789
573	11808	8763
574	11820	8736
575	11832	8710
576	11844	8682
577	11856	8656
578	11868	8629
579	11880	8602
580	11893	8576
581	11906	8551
582	11918	8524
583	11930	8498
584	11942	8472
585	11954	8445
586	11966	8419
587	11978	8392
588	11990	8366
589	12004	8341
590	12018	8317
591	12030	8291
592	12043	8265
593	12055	8239
594	12066	8213
595	12078	8187
596	12091	8162
597	12104	8136
598	12116	8111
599	12128	8085
600	12140	8060
601	12153	8034
602	12165	8009
603	12178	7984
604	12190	7959
605	12202	7933
606	12214	7908
607	12227	7883
608	12239	7858
609	12251	7832
610	12263	7807
611	12275	7782
612	12287	7757
613	12299	7732
614	12311	7707
615	12324	7683
616	12337	7658
617	12349	7633
618	12362	7608
619	12374	7584
620	12386	7559
621	12399	7535
622	12411	7510
623	12423	7486
624	12436	7461
625	12448	7437
626	12461	7413
627	12473	7388
628	12485	7364
629	12497	7339
630	12509	7315
631	12522	7291
632	12534	7267
633	12546	7243
634	12560	7219
635	12572	7195
636	12585	7172
637	12597	7147
638	12610	7124
